cve_id,change_type,date_updated,shard,run_utc
CVE-2020-37277,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2021-44319,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2021-47996,removed,,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-4993,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-50998,removed,,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-50999,removed,,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-51000,removed,,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-51008,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-51010,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-51012,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-51015,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2022-51017,updated,2026-09-08,cve_2022_and_before,2026-09-09T12:07:22+00:00
CVE-2023-52251,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2023-54354,removed,,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2024-1249,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2024-3653,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2024-9355,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2024-11831,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-2786,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-2842,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-3271,added,,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-5278,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-5318,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-5914,updated,2026-09-09,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-6020,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-7062,added,,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-7195,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-7425,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-14733,updated,2026-09-09,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-15647,updated,2026-09-08,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-15690,added,,cve_2023_to_2025,2026-09-09T12:07:22+00:00
CVE-2025-20701,updated,2026-02-26,cve_2023_to_2025,2026-09-09T12:07:22+00:00
