cve_id,change_type,date_updated,shard,run_utc
CVE-2021-43718,updated,2026-08-20,cve_2022_and_before,2026-08-21T07:38:41+00:00
CVE-2022-2586,updated,2026-08-20,cve_2022_and_before,2026-08-21T07:38:41+00:00
CVE-2024-21626,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2024-53920,updated,2025-03-13,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2024-58376,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-10263,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-12131,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-13465,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-14601,updated,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-14602,updated,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-15637,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-15671,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-15688,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-15689,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-36254,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-36255,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-36398,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-43417,updated,2026-08-21,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-43473,updated,2026-08-21,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-46281,updated,2026-08-21,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-46283,updated,2026-08-21,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-46291,updated,2026-08-21,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-48431,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-52182,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-53999,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-61726,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-62299,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-62300,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-62306,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-62307,added,,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-69223,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2025-69873,updated,2026-08-20,cve_2023_to_2025,2026-08-21T07:38:41+00:00
CVE-2026-1784,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-2050,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-2334,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-3039,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-4740,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-4800,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-4936,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-4937,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-5946,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-6321,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-6322,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-6373,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-6374,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-6734,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-6893,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-7163,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-7485,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-8619,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-8810,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-9033,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-9697,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-11332,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-11617,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-11751,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-11861,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-12143,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-12151,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-12522,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-12633,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-12634,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-12984,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13097,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13113,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13121,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13206,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13405,updated,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13601,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13676,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-13736,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14163,updated,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14325,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14474,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14476,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14514,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14601,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14946,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14947,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14948,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14949,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14950,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14951,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14952,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14953,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14970,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-14978,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15049,updated,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15061,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15065,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15068,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15315,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15316,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15421,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15446,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15571,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15573,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15679,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15686,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15706,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15743,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15806,updated,2026-08-21,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15816,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-15961,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-16019,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-16102,updated,2026-08-20,cve_2026_to_now,2026-08-21T07:38:41+00:00
CVE-2026-16323,added,,cve_2026_to_now,2026-08-21T07:38:41+00:00
