cve_id,change_type,date_updated,shard,run_utc
CVE-2005-2096,updated,2026-07-14,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2006-10003,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2009-10005,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2010-20042,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2010-20103,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2010-20107,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2012-10024,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2012-10026,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2012-10055,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2012-10056,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2013-10036,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2014-125126,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-9840,updated,2026-07-14,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-9841,updated,2026-07-14,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-9842,updated,2026-07-14,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-15044,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20044,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20065,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20068,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20069,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20070,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20075,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20084,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20085,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20091,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20093,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2016-20094,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2017-14919,updated,2026-07-14,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2017-20229,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2017-20268,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2017-20273,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25032,updated,2026-07-14,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25193,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25203,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25207,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25212,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25236,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25243,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25264,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25296,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25307,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25316,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25317,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25324,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25327,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25355,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25358,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25370,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25393,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25405,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25406,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25407,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2018-25421,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25241,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25243,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25251,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25260,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25278,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25279,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25280,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25301,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25303,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25326,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25332,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25337,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25362,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25363,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25367,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25466,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25469,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25470,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25477,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25478,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
CVE-2019-25485,updated,2026-07-15,cve_2022_and_before,2026-07-15T09:07:41+00:00
