cve_id,change_type,date_updated,shard,run_utc
CVE-2019-25764,updated,,cve_2022_and_before,2026-07-18T08:46:22+00:00
CVE-2023-49899,updated,2026-07-18,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23564,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23565,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23566,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23567,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23568,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23569,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23570,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23571,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23572,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23573,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23574,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23575,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23577,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-23578,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-32385,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-32386,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-32387,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-32389,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-34268,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-42214,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-47220,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2024-58360,updated,2026-07-18,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-5273,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-13465,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-20204,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-20205,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-51677,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-51678,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-59866,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-60357,added,,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-61726,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-67030,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-69223,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2025-69873,updated,2026-07-17,cve_2023_to_2025,2026-07-18T08:46:22+00:00
CVE-2026-2594,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-3031,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-4800,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-4926,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-4938,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-4942,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-6322,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-6473,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-6477,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-6951,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7189,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7364,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7488,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7543,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7656,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7667,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7754,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7755,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7771,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-7872,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8023,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8056,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8075,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8297,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8396,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8476,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8481,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8505,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8635,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8859,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-8861,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9103,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9135,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9171,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9198,added,2026-07-18,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9202,added,2026-07-18,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9277,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9537,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9585,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9586,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9587,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9588,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9592,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9602,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9656,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9734,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9762,added,2026-07-18,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-9810,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10143,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10525,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10638,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10649,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10651,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10652,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-10840,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-11324,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-11575,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-11763,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-11889,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-11961,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-11966,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12143,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12283,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12393,updated,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12409,updated,2026-07-17,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12691,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12692,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12693,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12694,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12705,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12715,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-12753,updated,2026-07-18,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-13042,updated,2026-07-18,cve_2026_to_now,2026-07-18T08:46:22+00:00
CVE-2026-13082,added,,cve_2026_to_now,2026-07-18T08:46:22+00:00
