cve_id,change_type,date_updated,shard,run_utc
CVE-2021-47952,updated,2026-07-15,cve_2022_and_before,2026-07-16T09:10:46+00:00
CVE-2023-0567,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2023-4346,updated,2026-07-16,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2023-31313,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-1022,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-3194,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-5278,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-13968,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-32781,added,,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-40646,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-41115,updated,2026-07-16,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-41117,updated,2026-07-16,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-41118,updated,2026-07-16,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-43213,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-43441,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-56361,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-56362,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-56363,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-56364,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-56365,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-61726,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-65720,added,,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-69223,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2025-70974,updated,2026-07-15,cve_2023_to_2025,2026-07-16T09:10:46+00:00
CVE-2026-0636,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-0877,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-1207,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-1562,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-1563,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-1609,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-3014,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-3842,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-4018,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-4878,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-5040,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-5260,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-5269,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-5270,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-5419,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-6423,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-6424,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-6803,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-7543,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-7640,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-7655,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-8177,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-8595,updated,2026-07-16,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-8609,updated,2026-07-16,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-8919,updated,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-8920,updated,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-8946,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-9007,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-9017,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-9029,updated,2026-07-16,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-9073,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-9770,updated,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-10601,updated,2026-07-16,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-10628,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-10649,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-10673,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11371,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11579,updated,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11580,updated,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11607,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11769,updated,2026-07-16,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11802,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11807,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11851,updated,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11866,added,,cve_2026_to_now,2026-07-16T09:10:46+00:00
CVE-2026-11898,updated,2026-07-15,cve_2026_to_now,2026-07-16T09:10:46+00:00
