cve_id,change_type,date_updated,shard,run_utc
CVE-2023-20511,added,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2023-31308,added,,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2023-54356,added,,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-3727,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-6387,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-7409,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-7806,removed,,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-10963,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-11218,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2024-12085,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-0624,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-3576,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-4382,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-4437,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-4598,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-4878,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-4953,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5278,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5318,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5351,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5372,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5914,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5915,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5916,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5917,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5918,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-5987,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-6021,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-6032,updated,2026-08-31,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-6170,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
CVE-2025-6395,updated,2026-09-01,cve_2023_to_2025,2026-09-01T12:18:48+00:00
