cve_id,change_type,date_updated,shard,run_utc
CVE-2022-4989,added,,cve_2022_and_before,2026-07-03T09:54:28+00:00
CVE-2022-4990,added,,cve_2022_and_before,2026-07-03T09:54:28+00:00
CVE-2022-37325,updated,2025-04-24,cve_2022_and_before,2026-07-03T09:54:28+00:00
CVE-2022-50973,added,,cve_2022_and_before,2026-07-03T09:54:28+00:00
CVE-2024-14037,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2024-21527,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2024-21626,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2024-28835,updated,2026-07-03,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2024-52011,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2024-58352,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-5276,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-9566,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-56005,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-58902,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-61726,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-62718,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-66076,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-67030,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69094,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69132,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69133,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69134,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69152,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69153,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69154,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69155,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69156,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69223,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-69872,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-71319,updated,2026-07-02,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2025-71385,added,,cve_2023_to_2025,2026-07-03T09:54:28+00:00
CVE-2026-0964,updated,2026-07-02,cve_2026_to_now,2026-07-03T09:54:28+00:00
CVE-2026-1526,updated,2026-07-02,cve_2026_to_now,2026-07-03T09:54:28+00:00
