cve_id,change_type,date_updated,shard,run_utc
CVE-2015-3246,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2015-5287,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2019-1068,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2020-15874,added,,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2020-15876,added,,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2020-15878,added,,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2020-36785,updated,2026-08-26,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2021-23758,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2021-47644,updated,2026-08-26,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2021-47983,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2022-0995,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2022-50998,updated,2026-08-27,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2022-51000,updated,2026-08-26,cve_2022_and_before,2026-08-27T18:03:13+00:00
CVE-2023-22460,updated,2025-03-11,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2023-42179,added,,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2023-43010,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2023-49105,updated,2024-08-29,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2024-7341,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2024-46741,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2024-54448,updated,2025-03-18,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-0416,updated,2026-08-26,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-2079,updated,2026-08-26,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-2080,updated,2026-08-26,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-2081,updated,2026-08-26,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-2399,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-3511,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-4376,updated,2026-08-26,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-10263,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-10903,added,,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-12945,updated,2026-08-26,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-13465,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-14813,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-29419,added,,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-31223,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-31277,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-38616,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-40074,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-41115,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-41117,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
CVE-2025-41118,updated,2026-08-27,cve_2023_to_2025,2026-08-27T18:03:13+00:00
