cve_id,change_type,date_updated,shard,run_utc
CVE-2019-25763,updated,2026-06-21,cve_2022_and_before,2026-06-22T12:47:11+00:00
CVE-2020-37255,updated,2026-06-21,cve_2022_and_before,2026-06-22T12:47:11+00:00
CVE-2023-4012,updated,2026-06-22,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2023-6955,updated,2026-06-21,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2023-45795,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2023-45796,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-4994,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-62198,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-66336,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-71348,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-71351,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-71357,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2025-71378,added,,cve_2023_to_2025,2026-06-22T12:47:11+00:00
CVE-2026-3012,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-4110,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-4259,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-6645,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-6858,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-7859,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-8157,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-8450,updated,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-8918,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-10118,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-10530,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-11373,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-11526,updated,2026-06-15,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-11745,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-11746,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-11748,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12505,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12515,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12580,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12581,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12774,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12781,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12789,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12804,added,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12805,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12806,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12807,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12808,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12809,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12810,added,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12811,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12812,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12813,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12814,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12815,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12821,added,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12822,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12823,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12862,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-12863,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30783,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30784,removed,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30789,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30790,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30792,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30794,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30796,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-30798,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-44911,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-44913,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-44914,added,,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-48908,updated,2026-06-21,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-50256,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-50257,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
CVE-2026-50258,updated,2026-06-22,cve_2026_to_now,2026-06-22T12:47:11+00:00
