cve_id,change_type,date_updated,shard,run_utc
CVE-2020-15875,updated,2026-09-14,cve_2022_and_before,2026-09-15T12:25:56+00:00
CVE-2022-26962,updated,2026-09-14,cve_2022_and_before,2026-09-15T12:25:56+00:00
CVE-2022-29567,updated,2026-09-14,cve_2022_and_before,2026-09-15T12:25:56+00:00
CVE-2022-42917,updated,2026-09-14,cve_2022_and_before,2026-09-15T12:25:56+00:00
CVE-2022-51013,updated,2026-09-14,cve_2022_and_before,2026-09-15T12:25:56+00:00
CVE-2022-51018,updated,2026-09-14,cve_2022_and_before,2026-09-15T12:25:56+00:00
CVE-2023-5578,updated,2026-09-15,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-5685,updated,2026-09-14,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-22631,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-22632,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24034,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24283,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24284,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24285,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24286,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24288,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-24291,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-25499,updated,2026-09-14,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-25500,updated,2026-09-14,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-28148,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-29377,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-32803,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-34854,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-37252,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-37253,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-40772,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-45023,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-45858,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-46035,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-50459,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-50460,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-50461,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2023-50462,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2024-23176,updated,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2024-53920,updated,2025-03-13,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2024-53922,updated,2026-09-14,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2025-5802,added,,cve_2023_to_2025,2026-09-15T12:25:56+00:00
CVE-2025-8538,updated,2026-09-15,cve_2023_to_2025,2026-09-15T12:25:56+00:00
