cve_id,change_type,date_updated,shard,run_utc
CVE-2025-12613,updated,2026-07-12,cve_2023_to_2025,2026-07-13T10:21:34+00:00
CVE-2026-4769,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-6850,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-7162,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-9492,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-9571,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-9597,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-9708,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10085,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10103,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10106,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10551,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10663,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10664,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10665,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10666,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10667,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-10668,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-11332,updated,2026-07-13,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-11963,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-11964,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12081,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12271,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12273,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12274,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12275,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12396,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
CVE-2026-12397,added,,cve_2026_to_now,2026-07-13T10:21:34+00:00
