cve_id,change_type,date_updated,shard,run_utc
CVE-2021-43716,added,,cve_2022_and_before,2026-08-19T07:34:07+00:00
CVE-2021-43717,added,,cve_2022_and_before,2026-08-19T07:34:07+00:00
CVE-2021-43718,added,,cve_2022_and_before,2026-08-19T07:34:07+00:00
CVE-2024-10234,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2024-14045,added,,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2024-14046,added,,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2024-21539,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2024-21626,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2024-44004,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-2251,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-2786,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-2842,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-5222,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-5278,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-5318,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-5914,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-6020,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-7195,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-7425,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-9210,added,,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-9211,added,,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-10263,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-11729,added,,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-12011,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-13465,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-14813,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-15467,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-23366,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-23367,updated,2026-08-19,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-25137,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-25256,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-27770,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-48431,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-57847,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-59325,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
CVE-2025-61726,updated,2026-08-18,cve_2023_to_2025,2026-08-19T07:34:07+00:00
