cve_id,change_type,date_updated,shard,run_utc
CVE-2024-8176,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2024-9666,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2024-10270,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2024-10451,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2024-10492,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2024-35768,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-0604,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-1391,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-2559,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-3501,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-3910,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-11234,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-12999,added,,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-13223,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-14174,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-15399,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-57847,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2025-68598,updated,2026-09-21,cve_2023_to_2025,2026-09-21T13:34:28+00:00
CVE-2026-2441,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-6862,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-6893,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-10027,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-10575,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-10747,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-10751,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-10853,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-11375,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-11378,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-12564,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-12912,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-14844,updated,,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-15467,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-15581,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-15709,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-15711,updated,2026-09-21,cve_2026_to_now,2026-09-21T13:34:28+00:00
CVE-2026-15801,added,,cve_2026_to_now,2026-09-21T13:34:28+00:00
