cve_id,change_type,date_updated,shard,run_utc
CVE-2024-11831,updated,2026-09-05,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-1244,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-2786,updated,2026-09-05,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-2842,updated,2026-09-05,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-4373,updated,2026-09-05,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-5278,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-5318,updated,2026-09-05,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-5914,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-6020,updated,2026-09-05,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-7195,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-7425,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-9049,added,,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-15614,added,,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-15647,added,,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-15693,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-15694,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-49794,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2025-49796,updated,2026-09-06,cve_2023_to_2025,2026-09-06T11:29:34+00:00
CVE-2026-0799,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-1784,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-2100,updated,2026-09-06,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-4740,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-4878,updated,2026-09-06,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-6244,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-6554,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-7163,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-10059,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-10090,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-10196,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-10840,updated,2026-09-06,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-12843,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-13159,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-13201,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-13622,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-15247,updated,2026-09-06,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-15550,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-16242,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-16310,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-17107,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-18056,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-18238,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-18313,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-18480,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-18874,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-19130,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-19858,updated,2026-09-06,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-19859,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-19861,updated,2026-09-06,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-19862,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-31911,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-31912,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-42965,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-46579,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-49332,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-50236,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-50237,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-54099,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-54100,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-64927,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-66781,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-66792,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-66793,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-66794,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-66795,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-66878,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-67276,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-67277,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-67278,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-67279,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-67281,added,,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-67567,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-70398,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-70495,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-70496,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
CVE-2026-71468,updated,2026-09-05,cve_2026_to_now,2026-09-06T11:29:34+00:00
