cve_id,change_type,date_updated,shard,run_utc
CVE-2016-0189,updated,2025-10-21,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2016-20097,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2018-0802,updated,2025-10-21,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2019-0803,updated,2025-10-21,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2019-5591,updated,2026-08-15,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2019-25765,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2020-0618,updated,2026-08-15,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2020-0968,updated,2025-10-21,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2020-29574,updated,2026-08-15,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2020-36950,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-4034,updated,2026-08-15,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47713,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47714,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47715,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47754,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47756,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47770,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47781,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2021-47942,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2022-4993,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
CVE-2022-4995,updated,2026-08-14,cve_2022_and_before,2026-08-15T07:26:15+00:00
