cve_id,change_type,date_updated,shard,run_utc
CVE-2018-10624,updated,2026-09-10,cve_2022_and_before,2026-09-11T11:59:49+00:00
CVE-2020-14498,updated,2026-09-10,cve_2022_and_before,2026-09-11T11:59:49+00:00
CVE-2022-26962,added,,cve_2022_and_before,2026-09-11T11:59:49+00:00
CVE-2022-51009,updated,2026-09-10,cve_2022_and_before,2026-09-11T11:59:49+00:00
CVE-2022-51011,updated,2026-09-10,cve_2022_and_before,2026-09-11T11:59:49+00:00
CVE-2022-51016,updated,2026-09-10,cve_2022_and_before,2026-09-11T11:59:49+00:00
CVE-2023-6717,updated,2026-09-11,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2023-54355,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2023-54395,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2024-7049,removed,,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2024-12145,added,,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-13465,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-15614,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-15679,added,,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-15695,added,,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-46808,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-48431,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-54518,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-57231,added,,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-57847,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-61726,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-61731,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-61732,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-62718,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-64588,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-64589,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-64838,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-64854,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-69223,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-69873,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2025-71417,updated,2026-09-10,cve_2023_to_2025,2026-09-11T11:59:49+00:00
CVE-2026-0054,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0065,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0084,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0302,updated,,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0303,updated,,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0304,updated,2026-09-11,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0305,updated,,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0306,updated,,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0307,updated,2026-09-11,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0308,updated,,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0309,updated,2026-09-11,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0310,updated,2026-09-11,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-0860,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-1519,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-1784,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-2310,added,,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-2332,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-2377,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
CVE-2026-3012,updated,2026-09-10,cve_2026_to_now,2026-09-11T11:59:49+00:00
